agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,PCE,time_period,distance,travel_time,node_sequence,time_sequence
1532,8,34,10847,1322,1,1.0000,0727:37_0727:37,3.793,7.581,10847;5216;5868;5174;5587;11259;5214;6256;5232;5219;11173;5114;5589;1322;,0727:36;0727:52;0728:44;0729:03;0729:33;0730:14;0730:27;0731:17;0731:55;0732:32;0733:37;0734:06;0734:30;0735:12;
1533,5,37,11282,1349,1,1.0000,0731:39_0731:39,1.510,2.743,11282;5208;5209;5211;5210;1349;,0731:36;0732:06;0732:43;0733:15;0733:40;0734:24;
1534,12,18,11151,1286,1,1.0000,0731:55_0731:55,3.165,6.481,11151;5109;11150;5027;5009;5863;5524;5022;4952;5440;11125;1286;,0731:54;0732:22;0732:33;0733:02;0733:17;0733:36;0734:23;0734:43;0735:48;0736:32;0736:59;0738:24;
1535,41,34,5578,1319,1,1.0000,0742:04_0742:04,1.813,2.826,5578;5436;5018;5017;11146;1319;,0742:00;0742:44;0743:27;0744:08;0744:29;0744:54;
1536,41,11,5578,5119,1,1.0000,0751:33_0751:33,5.023,9.539,5578;5436;5018;5017;11124;5022;5524;5863;5009;5027;11150;5109;4804;5106;5117;11255;5118;5727;5119;,0751:30;0752:14;0752:56;0753:38;0754:14;0754:28;0754:48;0755:42;0756:01;0756:16;0756:54;0757:04;0757:35;0758:08;0800:00;0800:24;0800:45;0800:58;0801:06;
1537,34,23,1322,1361,1,1.0000,0712:35_0712:35,3.520,8.012,1322;5589;5114;11173;5219;5232;11183;5215;5588;11184;11257;5175;5729;5728;1361;,0712:30;0713:13;0713:37;0714:06;0715:11;0715:48;0716:26;0716:50;0717:08;0717:34;0718:24;0718:56;0719:23;0720:03;0720:36;
1538,26,11,1323,5119,1,1.0000,0735:55_0735:55,1.481,3.080,1323;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,0735:54;0736:41;0736:55;0737:08;0737:22;0737:35;0737:49;0738:03;0738:17;0738:38;0738:51;0739:00;
1539,17,20,1289,1356,1,1.0000,0731:50_0731:50,3.868,8.061,1289;4952;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;1356;,0731:48;0732:31;0733:28;0733:41;0734:15;0735:20;0735:50;0736:16;0736:45;0737:50;0738:27;0739:05;0739:54;
1540,18,13,1286,5034,1,1.0000,0709:33_0709:33,3.065,5.937,1286;11125;5440;4952;5022;5524;5863;5009;5027;11129;5034;,0709:30;0710:53;0711:21;0712:05;0713:01;0713:21;0714:08;0714:27;0714:42;0714:56;0715:30;
1541,34,10,1322,5929,1,1.0000,0723:53_0723:53,3.279,7.309,1322;5589;5114;11173;5219;5232;11183;5215;5588;11184;11257;5175;5729;5929;,0723:48;0724:31;0724:55;0725:24;0726:29;0727:06;0727:44;0728:08;0728:26;0728:52;0729:42;0730:14;0730:41;0731:12;
1542,3,14,11159,5037,1,1.0000,0731:15_0731:15,4.338,7.733,11159;5112;5589;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0731:12;0731:39;0732:02;0732:25;0732:51;0733:21;0734:26;0735:00;0735:13;0735:33;0736:20;0736:39;0736:54;0737:26;0737:40;0737:56;0738:13;0739:00;
1543,3,11,11159,5119,1,1.0000,0708:21_0708:21,2.338,4.338,11159;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,0708:18;0708:45;0709:08;0709:31;0710:13;0710:36;0710:49;0711:03;0711:16;0711:30;0711:44;0711:57;0712:19;0712:32;0712:42;
1544,1,14,5577,5037,1,1.0000,0714:28_0714:28,2.288,4.019,5577;5436;11125;5440;11127;11126;5441;5861;10872;5030;11128;5037;,0714:24;0714:47;0715:12;0715:40;0716:06;0716:38;0716:50;0717:00;0717:12;0717:30;0717:47;0718:30;
