name,road_link_id,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,geometry
,14,14,101983,HOT,9,1,303,1,25,1800,"LINESTRING (1523402.000000 1004955.000000 ,1523704.490000 1004933.912000 )"
,14,14,101984,HOT,9,1,227,1,25,1800,"LINESTRING (1523402.000000 1004955.000000 ,1523174.626000 1004943.374000 )"
,15,15,100143,HOT,9,1,275,1,25,1800,"LINESTRING (1523952.454000 1004620.162000 ,1523997.700000 1004348.689000 )"
,15,15,101983,HOT,9,1,399,1,25,1800,"LINESTRING (1523952.454000 1004620.162000 ,1523704.490000 1004933.912000 )"
,16,16,101900,HOT,9,1,1108,1,25,1800,"LINESTRING (1522041.000000 1011125.000000 ,1521427.106000 1010202.493000 )"
,16,16,101961,HOT,9,1,338,1,25,1800,"LINESTRING (1522041.000000 1011125.000000 ,1522370.548000 1011046.904000 )"
,17,17,101932,HOT,9,1,671,1,25,1800,"LINESTRING (1523748.000000 1012078.000000 ,1523303.765000 1012581.485000 )"
,17,17,101936,HOT,9,1,938,1,25,1800,"LINESTRING (1523748.000000 1012078.000000 ,1522813.264000 1011988.835000 )"
,17,17,101939,HOT,9,1,1043,1,25,1800,"LINESTRING (1523748.000000 1012078.000000 ,1523817.216000 1011037.182000 )"
,18,18,100232,HOT,9,1,693,1,25,1800,"LINESTRING (1511204.000000 1011999.000000 ,1510613.000000 1011636.000000 )"
,18,18,100235,HOT,9,1,837,1,25,1800,"LINESTRING (1511204.000000 1011999.000000 ,1511483.000000 1011209.000000 )"
,18,18,100305,HOT,9,1,695,1,25,1800,"LINESTRING (1511204.000000 1011999.000000 ,1511898.172000 1012037.959000 )"
,19,19,101940,HOT,9,1,487,1,25,1800,"LINESTRING (1523309.000000 1009956.000000 ,1523796.709000 1009962.028000 )"
,19,19,101941,HOT,9,1,528,1,25,1800,"LINESTRING (1523309.000000 1009956.000000 ,1522780.880000 1009950.849000 )"
,20,20,101940,HOT,9,1,923,1,25,1800,"LINESTRING (1524720.000000 1009927.000000 ,1523796.709000 1009962.028000 )"
,20,20,101946,HOT,9,1,969,1,25,1800,"LINESTRING (1524720.000000 1009927.000000 ,1524722.011000 1008957.413000 )"
,21,21,101946,HOT,9,1,1670,1,25,1800,"LINESTRING (1524681.000000 1007287.000000 ,1524722.011000 1008957.413000 )"
,21,21,101967,HOT,9,1,943,1,25,1800,"LINESTRING (1524681.000000 1007287.000000 ,1524650.676000 1006343.729000 )"
,21,21,101969,HOT,9,1,929,1,25,1800,"LINESTRING (1524681.000000 1007287.000000 ,1523751.913000 1007321.591000 )"
,22,22,100172,HOT,9,1,1347,1,25,1800,"LINESTRING (1523211.000000 1007546.000000 ,1523242.797000 1006199.040000 )"
,22,22,100208,HOT,9,1,841,1,25,1800,"LINESTRING (1523211.000000 1007546.000000 ,1522977.000000 1008354.000000 )"
,22,22,101944,HOT,9,1,1385,1,25,1800,"LINESTRING (1523211.000000 1007546.000000 ,1523241.527000 1008930.976000 )"
,22,22,101970,HOT,9,1,531,1,25,1800,"LINESTRING (1523211.000000 1007546.000000 ,1523742.338000 1007554.846000 )"
,23,23,100207,HOT,9,1,761,1,25,1800,"LINESTRING (1522100.000000 1007725.000000 ,1522530.000000 1008354.000000 )"
,23,23,100265,HOT,9,1,550,1,25,1800,"LINESTRING (1522100.000000 1007725.000000 ,1521662.000000 1007392.000000 )"
,23,23,101892,HOT,9,1,1740,1,25,1800,"LINESTRING (1522100.000000 1007725.000000 ,1522077.051000 1005984.178000 )"
,24,24,101783,HOT,9,1,4177,1,25,1800,"LINESTRING (1514001.000000 1019473.000000 ,1509824.635000 1019373.680000 )"
,24,24,101786,HOT,9,1,2624,1,25,1800,"LINESTRING (1514001.000000 1019473.000000 ,1514014.935000 1016848.925000 )"
,24,24,101909,HOT,9,1,3650,1,25,1800,"LINESTRING (1514001.000000 1019473.000000 ,1517544.305000 1020351.857000 )"
,25,25,101906,HOT,9,1,2445,1,25,1800,"LINESTRING (1520931.000000 1021918.000000 ,1520292.000000 1019557.000000 )"
,25,25,101922,HOT,9,1,2055,1,25,1800,"LINESTRING (1520931.000000 1021918.000000 ,1522961.000000 1022240.000000 )"
,26,26,101919,HOT,9,1,2651,1,25,1800,"LINESTRING (1525292.000000 1022231.000000 ,1525330.000000 1024882.000000 )"
,26,26,101922,HOT,9,1,2331,1,25,1800,"LINESTRING (1525292.000000 1022231.000000 ,1522961.000000 1022240.000000 )"
,27,27,100131,HOT,9,1,3076,1,25,1800,"LINESTRING (1530894.000000 1021975.000000 ,1533572.191000 1023488.576000 )"
,27,27,101917,HOT,9,1,3005,1,25,1800,"LINESTRING (1530894.000000 1021975.000000 ,1530272.000000 1024915.000000 )"
,27,27,101926,HOT,9,1,3147,1,25,1800,"LINESTRING (1530894.000000 1021975.000000 ,1528798.620000 1019625.949000 )"
,28,28,101924,HOT,9,1,2660,1,25,1800,"LINESTRING (1524925.000000 1016980.000000 ,1524943.000000 1019640.000000 )"
,28,28,101929,HOT,9,1,3836,1,25,1800,"LINESTRING (1524925.000000 1016980.000000 ,1522831.345000 1013765.698000 )"
,29,29,100268,HOT,9,1,4261,1,25,1800,"LINESTRING (1520967.000000 1017101.000000 ,1521967.108000 1012958.852000 )"
,29,29,101906,HOT,9,1,2547,1,25,1800,"LINESTRING (1520967.000000 1017101.000000 ,1520292.000000 1019557.000000 )"
,29,29,101928,HOT,9,1,1933,1,25,1800,"LINESTRING (1520967.000000 1017101.000000 ,1522894.000000 1016948.000000 )"
,30,30,100751,HOT,9,1,4992,1,25,1800,"LINESTRING (1507425.000000 1024921.000000 ,1507150.000000 1029906.000000 )"
,30,30,101775,HOT,9,1,3511,1,25,1800,"LINESTRING (1507425.000000 1024921.000000 ,1503985.231000 1025627.783000 )"
,30,30,101781,HOT,9,1,2325,1,25,1800,"LINESTRING (1507425.000000 1024921.000000 ,1509747.818000 1024816.096000 )"
,31,31,101781,HOT,9,1,4080,1,25,1800,"LINESTRING (1513827.000000 1024725.000000 ,1509747.818000 1024816.096000 )"
,31,31,101907,HOT,9,1,3737,1,25,1800,"LINESTRING (1513827.000000 1024725.000000 ,1517564.023000 1024728.936000 )"
,32,32,101908,HOT,9,1,1864,1,25,1800,"LINESTRING (1519421.348000 1027000.820000 ,1517583.961000 1027318.066000 )"
,32,32,101912,HOT,9,1,2484,1,25,1800,"LINESTRING (1519421.348000 1027000.820000 ,1521842.240000 1026442.485000 )"
,33,33,100133,HOT,9,1,5181,1,25,1800,"LINESTRING (1528420.000000 1027515.000000 ,1533578.962000 1027030.119000 )"
,33,33,101915,HOT,9,1,2622,1,25,1800,"LINESTRING (1528420.000000 1027515.000000 ,1528508.000000 1030136.000000 )"
,33,33,101916,HOT,9,1,2991,1,25,1800,"LINESTRING (1528420.000000 1027515.000000 ,1525429.000000 1027533.000000 )"
,33,33,101918,HOT,9,1,2648,1,25,1800,"LINESTRING (1528420.000000 1027515.000000 ,1528367.371000 1024866.640000 )"
,34,34,100144,HOT,9,1,863,1,25,1800,"LINESTRING (1525423.000000 1005196.000000 ,1525254.520000 1004348.689000 )"
,34,34,100212,HOT,9,1,427,1,25,1800,"LINESTRING (1525423.000000 1005196.000000 ,1525470.000000 1005621.000000 )"
,35,35,100096,HOT,9,1,484,1,25,1800,"LINESTRING (1525674.000000 1003396.000000 ,1525549.760000 1002927.561000 )"
,35,35,101952,HOT,9,1,507,1,25,1800,"LINESTRING (1525674.000000 1003396.000000 ,1525170.000000 1003456.000000 )"
,36,36,101935,HOT,9,1,1778,1,25,1800,"LINESTRING (1526310.000000 1010389.000000 ,1528086.894000 1010461.225000 )"
,36,36,101948,HOT,9,1,1407,1,25,1800,"LINESTRING (1526310.000000 1010389.000000 ,1526313.469000 1008981.403000 )"
,37,37,100213,HOT,9,1,939,1,25,1800,"LINESTRING (1525471.000000 1007787.000000 ,1525448.000000 1006848.000000 )"
,37,37,101947,HOT,9,1,1252,1,25,1800,"LINESTRING (1525471.000000 1007787.000000 ,1525499.773000 1009039.572000 )"
,38,38,101949,HOT,9,1,1612,1,25,1800,"LINESTRING (1527361.000000 1007748.000000 ,1527417.053000 1009359.197000 )"
,38,38,101951,HOT,9,1,682,1,25,1800,"LINESTRING (1527361.000000 1007748.000000 ,1528043.404000 1007723.345000 )"
,38,38,101964,HOT,9,1,1053,1,25,1800,"LINESTRING (1527361.000000 1007748.000000 ,1527392.259000 1006695.344000 )"
,39,39,100214,HOT,9,1,3196,1,25,1800,"LINESTRING (1530722.073000 1010795.080000 ,1530704.612000 1007598.863000 )"
,39,39,100220,HOT,9,1,3538,1,25,1800,"LINESTRING (1530722.073000 1010795.080000 ,1530785.114000 1014333.419000 )"
,40,40,101962,HOT,9,1,1064,1,25,1800,"LINESTRING (1529813.000000 1006220.000000 ,1529088.586000 1006999.350000 )"
,41,41,100175,HOT,9,1,461,1,25,1800,"LINESTRING (1508488.000000 1001637.000000 ,1508631.919000 1001198.990000 )"
,41,41,100744,HOT,9,1,626,1,25,1800,"LINESTRING (1508488.000000 1001637.000000 ,1508485.469000 1002263.197000 )"
,42,42,100102,HOT,9,1,438,1,25,1800,"LINESTRING (1528345.000000 1003328.000000 ,1528369.186000 1002890.151000 )"
,43,43,101927,HOT,9,1,1461,1,25,1800,"LINESTRING (1529627.000000 1016182.000000 ,1528166.000000 1016221.000000 )"
,43,43,101934,HOT,9,1,1885,1,25,1800,"LINESTRING (1529627.000000 1016182.000000 ,1529573.242000 1014297.733000 )"
,44,44,100183,HOT,9,1,817,1,25,1800,"LINESTRING (1537870.000000 1013607.000000 ,1537475.844000 1014323.652000 )"
,44,44,100185,HOT,9,1,832,1,25,1800,"LINESTRING (1537870.000000 1013607.000000 ,1538700.000000 1013547.000000 )"
,45,45,100125,HOT,9,1,2512,1,25,1800,"LINESTRING (1541263.000000 1011698.000000 ,1541280.484000 1009186.036000 )"
,45,45,100166,HOT,9,1,2516,1,25,1800,"LINESTRING (1541263.000000 1011698.000000 ,1538746.257000 1011710.929000 )"
,45,45,100182,HOT,9,1,3560,1,25,1800,"LINESTRING (1541263.000000 1011698.000000 ,1541386.080000 1015255.958000 )"
,46,46,100125,HOT,9,1,3462,1,25,1800,"LINESTRING (1538323.502000 1007384.282000 ,1541280.484000 1009186.036000 )"
,47,47,100126,HOT,9,1,2871,1,25,1800,"LINESTRING (1537052.000000 1025750.000000 ,1534289.407000 1024965.057000 )"
,47,47,100568,HOT,9,1,1907,1,25,1800,"LINESTRING (1537052.000000 1025750.000000 ,1538929.540000 1025410.799000 )"
,48,48,100198,HOT,9,1,1938,1,25,1800,"LINESTRING (1547583.000000 1027882.000000 ,1549509.019000 1028098.244000 )"
,49,49,100196,HOT,9,1,1411,1,25,1800,"LINESTRING (1550594.000000 1022186.000000 ,1549417.161000 1021407.168000 )"
,50,50,100194,HOT,9,1,1059,1,25,1800,"LINESTRING (1550372.000000 1016409.000000 ,1549316.334000 1016315.382000 )"
,51,51,100155,HOT,9,1,1414,1,25,1800,"LINESTRING (1550657.000000 1011827.000000 ,1549249.116000 1011694.124000 )"
,52,52,100128,HOT,9,1,2076,1,25,1800,"LINESTRING (1543746.000000 1005428.000000 ,1542551.912000 1003728.689000 )"
,52,52,100152,HOT,9,1,4547,1,25,1800,"LINESTRING (1543746.000000 1005428.000000 ,1543857.340000 1009974.247000 )"
,53,53,100094,HOT,9,1,655,1,25,1800,"LINESTRING (1525964.000000 1002456.000000 ,1525308.886000 1002474.781000 )"
,53,53,100095,HOT,9,1,461,1,25,1800,"LINESTRING (1525964.000000 1002456.000000 ,1525947.755000 1002917.578000 )"
,54,54,100089,HOT,9,1,335,1,25,1800,"LINESTRING (1524945.000000 1001756.000000 ,1525279.708000 1001733.626000 )"
,54,54,101957,HOT,9,1,148,1,25,1800,"LINESTRING (1524945.000000 1001756.000000 ,1525011.570000 1001888.864000 )"
,55,55,100087,HOT,9,1,969,1,25,1800,"LINESTRING (1526576.000000 1000136.000000 ,1526582.342000 1001105.549000 )"
,55,55,100099,HOT,9,1,1135,1,25,1800,"LINESTRING (1526576.000000 1000136.000000 ,1525440.822000 1000115.921000 )"
,55,55,100258,HOT,9,1,1452,1,25,1800,"LINESTRING (1526576.000000 1000136.000000 ,1526983.220000 998741.375000 )"
,56,56,100084,HOT,9,1,608,1,25,1800,"LINESTRING (1527987.000000 999027.000000 ,1527768.576000 998459.375000 )"
,57,57,100103,HOT,9,1,843,1,25,1800,"LINESTRING (1529216.000000 1002028.000000 ,1529268.322000 1002870.032000 )"
,57,57,100106,HOT,9,1,951,1,25,1800,"LINESTRING (1529216.000000 1002028.000000 ,1529205.521000 1001076.858000 )"
,58,58,100104,HOT,9,1,2750,1,25,1800,"LINESTRING (1530866.000000 999978.000000 ,1530986.150000 1002725.860000 )"
,58,58,100110,HOT,9,1,1563,1,25,1800,"LINESTRING (1530866.000000 999978.000000 ,1530911.053000 998414.813000 )"
,59,59,100106,HOT,9,1,608,1,25,1800,"LINESTRING (1528828.000000 1000599.000000 ,1529205.521000 1001076.858000 )"
,59,59,100218,HOT,9,1,289,1,25,1800,"LINESTRING (1528828.000000 1000599.000000 ,1528549.000000 1000521.000000 )"
,59,59,100223,HOT,9,1,1133,1,25,1800,"LINESTRING (1528828.000000 1000599.000000 ,1529632.000000 999800.000000 )"
,60,60,100085,HOT,9,1,518,1,25,1800,"LINESTRING (1529628.000000 997957.000000 ,1529792.090000 998449.000000 )"
,61,61,100110,HOT,9,1,686,1,25,1800,"LINESTRING (1530919.000000 997728.000000 ,1530911.053000 998414.813000 )"
,62,62,100599,HOT,9,1,1012,1,25,1800,"LINESTRING (1530110.000000 994476.000000 ,1530118.445000 993463.187000 )"
,63,63,100238,HOT,9,1,855,1,25,1800,"LINESTRING (1534967.000000 998908.000000 ,1534135.817000 998704.938000 )"
,63,63,100242,HOT,9,1,581,1,25,1800,"LINESTRING (1534967.000000 998908.000000 ,1535495.441000 998665.625000 )"
,63,63,100243,HOT,9,1,2004,1,25,1800,"LINESTRING (1534967.000000 998908.000000 ,1532967.000000 998780.000000 )"
,64,64,100161,HOT,9,1,2030,1,25,1800,"LINESTRING (1545740.000000 1001048.000000 ,1543779.963000 1000516.199000 )"
,65,65,100117,HOT,9,1,3242,1,25,1800,"LINESTRING (1544813.000000 995175.000000 ,1544673.363000 998414.500000 )"
,65,65,100655,HOT,9,1,2569,1,25,1800,"LINESTRING (1544813.000000 995175.000000 ,1544842.607000 992605.813000 )"
,66,66,100239,HOT,9,1,106,1,25,1800,"LINESTRING (1534063.084000 998195.062000 ,1534135.817000 998272.312000 )"
,66,66,102554,HOT,9,1,421,1,25,1800,"LINESTRING (1534063.084000 998195.062000 ,1533709.900000 997965.125000 )"
,67,67,100199,HOT,9,1,771,1,25,1800,"LINESTRING (1532629.000000 996816.000000 ,1533102.459000 997425.687000 )"
,67,67,100645,HOT,9,1,539,1,25,1800,"LINESTRING (1532629.000000 996816.000000 ,1533057.350000 997143.313000 )"
,68,68,100154,HOT,9,1,1410,1,25,1800,"LINESTRING (1536999.000000 997172.000000 ,1537639.448000 998429.250000 )"
,68,68,100652,HOT,9,1,1288,1,25,1800,"LINESTRING (1536999.000000 997172.000000 ,1537033.299000 995883.750000 )"
,68,68,100654,HOT,9,1,1426,1,25,1800,"LINESTRING (1536999.000000 997172.000000 ,1538346.989000 997638.250000 )"
,69,69,100646,HOT,9,1,840,1,25,1800,"LINESTRING (1533814.000000 990698.000000 ,1532974.000000 990717.000000 )"
,69,69,100648,HOT,9,1,2710,1,25,1800,"LINESTRING (1533814.000000 990698.000000 ,1533899.849000 993406.875000 )"
,70,70,100663,HOT,9,1,1378,1,25,1800,"LINESTRING (1544886.000000 989303.000000 ,1544854.649000 987925.250000 )"
,71,71,100157,HOT,9,1,2741,1,25,1800,"LINESTRING (1551650.000000 1002132.000000 ,1554381.104000 1001890.772000 )"
,71,71,100160,HOT,9,1,2587,1,25,1800,"LINESTRING (1551650.000000 1002132.000000 ,1549114.283000 1002645.088000 )"
,72,72,100657,HOT,9,1,1996,1,25,1800,"LINESTRING (1550957.567000 993231.938000 ,1548962.984000 993154.125000 )"
,72,72,100699,HOT,9,1,2678,1,25,1800,"LINESTRING (1550957.567000 993231.938000 ,1553625.000000 992985.000000 )"
,73,73,100662,HOT,9,1,6438,1,25,1800,"LINESTRING (1549142.000000 981383.000000 ,1548888.000000 987816.000000 )"
,73,73,100665,HOT,9,1,5681,1,25,1800,"LINESTRING (1549142.000000 981383.000000 ,1543461.000000 981291.000000 )"
,73,73,103415,HOT,9,1,7277,1,25,1800,"LINESTRING (1549142.000000 981383.000000 ,1555450.145000 985011.500000 )"
,73,73,103978,HOT,9,1,1518,1,25,1800,"LINESTRING (1549142.000000 981383.000000 ,1548717.419000 979925.313000 )"
,74,74,100057,HOT,9,1,171,1,25,1800,"LINESTRING (1523795.000000 1000815.000000 ,1523807.302000 1000985.663000 )"
,74,74,100062,HOT,9,1,198,1,25,1800,"LINESTRING (1523795.000000 1000815.000000 ,1523604.010000 1000761.589000 )"
,75,75,100060,HOT,9,1,250,1,25,1800,"LINESTRING (1524505.000000 1000835.000000 ,1524701.253000 1000990.863000 )"
,75,75,100061,HOT,9,1,104,1,25,1800,"LINESTRING (1524505.000000 1000835.000000 ,1524400.879000 1000837.602000 )"
,76,76,100070,HOT,9,1,684,1,25,1800,"LINESTRING (1523896.000000 999420.000000 ,1523986.926000 1000098.277000 )"
,76,76,100072,HOT,9,1,454,1,25,1800,"LINESTRING (1523896.000000 999420.000000 ,1524350.674000 999417.688000 )"
,76,76,100073,HOT,9,1,296,1,25,1800,"LINESTRING (1523896.000000 999420.000000 ,1523599.023000 999417.688000 )"
,76,76,100080,HOT,9,1,976,1,25,1800,"LINESTRING (1523896.000000 999420.000000 ,1524017.925000 998450.875000 )"
,77,77,100206,HOT,9,1,286,1,25,1800,"LINESTRING (1524016.000000 997682.000000 ,1524296.985000 997739.875000 )"
,77,77,100575,HOT,9,1,459,1,25,1800,"LINESTRING (1524016.000000 997682.000000 ,1523557.312000 997704.500000 )"
,77,77,100580,HOT,9,1,658,1,25,1800,"LINESTRING (1524016.000000 997682.000000 ,1524048.073000 997023.938000 )"
,78,78,100205,HOT,9,1,1038,1,25,1800,"LINESTRING (1526554.000000 997415.000000 ,1525569.000000 997743.000000 )"
,78,78,100259,HOT,9,1,917,1,25,1800,"LINESTRING (1526554.000000 997415.000000 ,1526983.220000 998226.250000 )"
,78,78,100571,HOT,9,1,1097,1,25,1800,"LINESTRING (1526554.000000 997415.000000 ,1525532.000000 997016.000000 )"
,79,79,100202,HOT,9,1,855,1,25,1800,"LINESTRING (1527270.000000 994835.000000 ,1526415.594000 994798.375000 )"
,79,79,100597,HOT,9,1,1366,1,25,1800,"LINESTRING (1527270.000000 994835.000000 ,1527250.887000 993468.813000 )"
,80,80,100201,HOT,9,1,928,1,25,1800,"LINESTRING (1524669.000000 994923.000000 ,1525589.570000 994798.375000 )"
,80,80,100256,HOT,9,1,1107,1,25,1800,"LINESTRING (1524669.000000 994923.000000 ,1524656.000000 993816.000000 )"
,80,80,100585,HOT,9,1,1320,1,25,1800,"LINESTRING (1524669.000000 994923.000000 ,1523506.968000 995549.813000 )"
,81,81,100257,HOT,9,1,1187,1,25,1800,"LINESTRING (1524121.000000 992095.000000 ,1524656.000000 993155.000000 )"
,81,81,100604,HOT,9,1,741,1,25,1800,"LINESTRING (1524121.000000 992095.000000 ,1523380.122000 992111.875000 )"
,81,81,100675,HOT,9,1,1646,1,25,1800,"LINESTRING (1524121.000000 992095.000000 ,1523686.000000 990507.000000 )"
,82,82,100610,HOT,9,1,868,1,25,1800,"LINESTRING (1524230.643000 989624.250000 ,1523362.000000 989600.000000 )"
,82,82,100613,HOT,9,1,1403,1,25,1800,"LINESTRING (1524230.643000 989624.250000 ,1524229.031000 988220.375000 )"
,82,82,100675,HOT,9,1,1037,1,25,1800,"LINESTRING (1524230.643000 989624.250000 ,1523686.000000 990507.000000 )"
,83,83,100603,HOT,9,1,569,1,25,1800,"LINESTRING (1526921.000000 990858.000000 ,1527489.400000 990826.938000 )"
,84,84,100615,HOT,9,1,613,1,25,1800,"LINESTRING (1529873.000000 988602.000000 ,1530273.441000 988137.188000 )"
,85,85,100619,HOT,9,1,2516,1,25,1800,"LINESTRING (1524997.000000 982880.000000 ,1527513.232000 982840.500000 )"
,85,85,100621,HOT,9,1,2555,1,25,1800,"LINESTRING (1524997.000000 982880.000000 ,1522442.055000 982901.875000 )"
,86,86,100620,HOT,9,1,3191,1,25,1800,"LINESTRING (1530660.000000 979992.000000 ,1527469.000000 980041.000000 )"
,86,86,100673,HOT,9,1,2168,1,25,1800,"LINESTRING (1530660.000000 979992.000000 ,1532828.000000 979930.000000 )"
,87,87,100639,HOT,9,1,2643,1,25,1800,"LINESTRING (1535529.000000 982777.000000 ,1538172.162000 982719.938000 )"
,87,87,100672,HOT,9,1,1862,1,25,1800,"LINESTRING (1535529.000000 982777.000000 ,1533667.000000 982717.000000 )"
,88,88,100638,HOT,9,1,2690,1,25,1800,"LINESTRING (1540821.000000 979579.000000 ,1538131.000000 979607.000000 )"
,88,88,100666,HOT,9,1,2611,1,25,1800,"LINESTRING (1540821.000000 979579.000000 ,1543432.000000 979510.000000 )"
,89,89,100627,HOT,9,1,2030,1,25,1800,"LINESTRING (1525265.000000 969027.000000 ,1525214.000000 971057.000000 )"
