name,road_link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,link_type_name,jam_density,demand_type_code,count_sensor_id,speed_sensor_id
300 West,0,3689,11507,1,0.094,2,25,601,4,Major arterial,1111,,,
500 West,0,4156,10849,1,0.0946,1,24,633,4,Major arterial,1112,,,
500 West,0,4156,10850,1,0.17,1,24,633,4,Major arterial,1113,,,
700 West,0,4804,5106,1,0.2604,1,29,666,4,Major arterial,1114,,,
Connector,0,5174,1357,1,0.4171,7,21,10000,1,Zone Connector,1115,,,
700 West,0,4804,5109,1,0.2489,1,29,666,4,Major arterial,1116,,,
700 West,0,4899,5030,1,0.2603,2,30,633,4,Major arterial,1117,,,
1300 West,0,4952,5022,1,0.5007,1,32,666,4,Major arterial,1118,,,
1300 West,0,4952,5440,1,0.39199,1,32,666,4,Major arterial,1119,,,
1300 West,0,5022,4952,1,0.5007,1,32,666,4,Major arterial,1120,,,
1300 West,0,5022,11147,1,0.119,1,32,666,4,Major arterial,1121,,,
700 West,0,5027,11150,1,0.2378,1,29,666,4,Major arterial,1122,,,
