name,road_link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,link_type_name,jam_density,demand_type_code,count_sensor_id,speed_sensor_id
Connector,0,10850,1360,1,0.1651,7,20,10000,1,Zone Connector,1240,,,
Jordan Gateway,0,5175,6185,1,0.12113,2,35,600,4,Major arterial,1241,,,
Jordan Gateway,0,5175,11507,1,0.12113,2,35,600,4,Major arterial,1242,,,
Jordan Gateway,0,11507,5175,1,0.12113,2,35,600,4,Major arterial,1243,,,
8000 South,0,5109,11151,1,0.1948,1,26,514,5,Minor arterial,1244,,,
8660 S,0,5113,8002,1,0.242,1,26,514,5,Minor arterial,1245,,,
1000 West,0,5215,6255,1,0.4541,1,26,514,5,Minor arterial,1246,,,
Connector,0,10853,1325,1,0.1583,7,20,10000,1,Zone Connector,1247,,,
1000 West,0,5587,10857,1,0.1459,1,26,514,5,Minor arterial,1248,,,
Sugar Fact,0,5736,8116,1,0.3243,1,26,514,5,Minor arterial,1249,,,
River Fron,0,5868,6253,1,0.339,1,26,514,5,Minor arterial,1250,,,
River Fron,0,6253,5868,1,0.339,1,26,514,5,Minor arterial,1251,,,
1000 West,0,6255,5215,1,0.4541,1,26,514,5,Minor arterial,1252,,,
1000 West,0,6255,10857,1,0.2393,1,26,514,5,Minor arterial,1253,,,
8660 S,0,8002,5113,1,0.242,1,26,514,5,Minor arterial,1254,,,
Sugar Fact,0,8116,5736,1,0.3243,1,26,514,5,Minor arterial,1255,,,
1000 West,0,10857,5587,1,0.1459,1,26,514,5,Minor arterial,1256,,,
Connector,0,11124,1289,1,0.5069,7,21,10000,1,Zone Connector,1257,,,
Connector,0,11124,1319,1,0.2054,7,21,10000,1,Zone Connector,1258,,,
1000 West,0,10857,6255,1,0.2393,1,26,514,5,Minor arterial,1259,,,
8000 South,0,11151,5109,1,0.1948,1,26,514,5,Minor arterial,1260,,,
Connector,0,11125,1286,1,0.466,7,21,10000,1,Zone Connector,1261,,,
Connector,0,11125,1289,1,0.5047,7,21,10000,1,Zone Connector,1262,,,
700 West,0,4958,5010,1,0.14152,2,36,814,3,Principal arterial,1263,,,
700 West,0,4958,5030,1,0.15809,2,36,814,3,Principal arterial,1264,,,
Center St,0,5009,5027,1,0.1508,2,36,814,3,Principal arterial,1265,,,
Holden St,0,5009,5240,1,0.2969,2,36,814,3,Principal arterial,1266,,,
7800 South,0,5009,5863,1,0.1904,2,36,814,3,Principal arterial,1267,,,
700 West,0,5010,4958,1,0.14152,2,36,814,3,Principal arterial,1268,,,
