road_link_id,time_period,travel_time,delay,volume,density,speed,queue
0,0740:00_0741:00,  0.81,  0.06,  0.00, 19.45,  0.00,  0.00,
0,0741:00_0742:00,  0.75,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0742:00_0743:00,  0.75,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0743:00_0744:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0746:00_0747:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0747:00_0748:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0748:00_0749:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0749:00_0750:00,  0.75,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0750:00_0751:00,  0.75,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0751:00_0752:00,  0.75,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0752:00_0753:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0754:00_0755:00,  0.75,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0755:00_0756:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0756:00_0757:00,  0.75,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0757:00_0758:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0758:00_0759:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0759:00_0800:00,  0.75,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0715:00_0716:00,  1.45,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0723:00_0724:00,  1.45,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0732:00_0733:00,  1.45,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0733:00_0734:00,  1.45,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0738:00_0739:00,  1.45,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0739:00_0740:00,  1.45,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0750:00_0751:00,  1.45,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0751:00_0752:00,  1.45,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0757:00_0758:00,  1.45,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0717:00_0718:00,  1.44,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0718:00_0719:00,  1.44,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0749:00_0750:00,  1.44,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0750:00_0751:00,  1.44,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0757:00_0758:00,  1.44,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0758:00_0759:00,  1.44,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0702:00_0703:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0703:00_0704:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0704:00_0705:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0707:00_0708:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0708:00_0709:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0716:00_0717:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0717:00_0718:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0718:00_0719:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0719:00_0720:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0720:00_0721:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0721:00_0722:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0722:00_0723:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0723:00_0724:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0724:00_0725:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0727:00_0728:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0728:00_0729:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0729:00_0730:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0730:00_0731:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0731:00_0732:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0732:00_0733:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0733:00_0734:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0734:00_0735:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0735:00_0736:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0736:00_0737:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0737:00_0738:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0738:00_0739:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0739:00_0740:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0740:00_0741:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0741:00_0742:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0742:00_0743:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0743:00_0744:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0745:00_0746:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0749:00_0750:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0750:00_0751:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0751:00_0752:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0752:00_0753:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0753:00_0754:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0754:00_0755:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0755:00_0756:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0756:00_0757:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0757:00_0758:00,  0.72,  0.00,  0.00, 21.00,  0.00,  0.00,
0,0758:00_0759:00,  0.72,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0759:00_0800:00,  0.72,  0.00,  2.00, 21.00,  0.00,  0.00,
