name,node_id,zone_id,control_type,control_type_name,cycle_length_in_second,x_corrd,y_coord
,11281,7,4,4way_stop_sign,0,-111.929153,40.555761
,11282,5,0,unknown_control,0,-111.943762,40.562247
,11489,,4,4way_stop_sign,0,-111.902652,40.580647
,11507,,4,4way_stop_sign,0,-111.902527,40.562393
,11763,,4,4way_stop_sign,0,-111.905488,40.584909
,11827,16,0,unknown_control,0,-111.929192,40.626782
,11910,,4,4way_stop_sign,0,-111.904258,40.589983
,3000,,5,pretimed_signal,70,-111.916207,40.5812
,3001,,4,4way_stop_sign,0,-111.909573,40.58079
,3002,29,4,4way_stop_sign,0,-111.91126,40.581966
,1,,0,unknown_control,0,-111.920177,40.587738
,2,,0,unknown_control,0,-111.918417,40.587734
,3,,0,unknown_control,0,-111.916477,40.58773
,4,,0,unknown_control,0,-111.914379,40.587726
,5,,0,unknown_control,0,-111.912416,40.587722
