link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,0753:00_0754:00,84.000,4419.000,4335.000,0.000,1.006,0.349,59.653,simulation-based
1,1,3,0754:00_0755:00,83.000,4502.000,4418.000,1.000,1.005,0.313,59.688,simulation-based
1,1,3,0755:00_0756:00,84.000,4585.000,4502.000,0.000,1.002,0.143,59.857,simulation-based
1,1,3,0756:00_0757:00,83.000,4669.000,4585.000,0.000,1.006,0.349,59.653,simulation-based
1,1,3,0757:00_0758:00,84.000,4752.000,4669.000,0.000,1.002,0.120,59.880,simulation-based
1,1,3,0758:00_0759:00,83.000,4835.000,4752.000,0.000,1.007,0.405,59.598,simulation-based
1,1,3,0759:00_0800:00,82.000,4919.000,4834.000,1.000,1.005,0.296,59.705,simulation-based
1,1,3,0800:00_0801:00,84.000,5000.000,4918.000,1.000,1.000,0.000,60.000,simulation-based
1,1,3,0801:00_0802:00,82.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0802:00_0803:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0803:00_0804:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0804:00_0805:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0805:00_0806:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0806:00_0807:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0807:00_0808:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0808:00_0809:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0809:00_0810:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0810:00_0811:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0811:00_0812:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0812:00_0813:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0813:00_0814:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0814:00_0815:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0815:00_0816:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0816:00_0817:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0817:00_0818:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0818:00_0819:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0819:00_0820:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0820:00_0821:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0821:00_0822:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0822:00_0823:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0823:00_0824:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0824:00_0825:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0825:00_0826:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0826:00_0827:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0827:00_0828:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0828:00_0829:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0829:00_0830:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0830:00_0831:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0831:00_0832:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0832:00_0833:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0833:00_0834:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0834:00_0835:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0835:00_0836:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0836:00_0837:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0837:00_0838:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0838:00_0839:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0839:00_0840:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0840:00_0841:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0841:00_0842:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0842:00_0843:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0843:00_0844:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0844:00_0845:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0845:00_0846:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0846:00_0847:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0847:00_0848:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0848:00_0849:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0849:00_0850:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0850:00_0851:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0851:00_0852:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0852:00_0853:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0853:00_0854:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0854:00_0855:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0855:00_0856:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0856:00_0857:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0857:00_0858:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0858:00_0859:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0859:00_0900:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0900:00_0901:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0901:00_0902:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0902:00_0903:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0903:00_0904:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0904:00_0905:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0905:00_0906:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0906:00_0907:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0907:00_0908:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0908:00_0909:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0909:00_0910:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0910:00_0911:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0911:00_0912:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0912:00_0913:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0913:00_0914:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0914:00_0915:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0915:00_0916:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0916:00_0917:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0917:00_0918:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0918:00_0919:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0919:00_0920:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0920:00_0921:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0921:00_0922:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0922:00_0923:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0923:00_0924:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0924:00_0925:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0925:00_0926:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0926:00_0927:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0927:00_0928:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0928:00_0929:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0929:00_0930:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0930:00_0931:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0931:00_0932:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0932:00_0933:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0933:00_0934:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0934:00_0935:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0935:00_0936:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0936:00_0937:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0937:00_0938:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0938:00_0939:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0939:00_0940:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0940:00_0941:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0941:00_0942:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0942:00_0943:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0943:00_0944:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0944:00_0945:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0945:00_0946:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0946:00_0947:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0947:00_0948:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0948:00_0949:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0949:00_0950:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0950:00_0951:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0951:00_0952:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0952:00_0953:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0953:00_0954:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0954:00_0955:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0955:00_0956:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0956:00_0957:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0957:00_0958:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0958:00_0959:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0959:00_1000:00,0.000,5000.000,5000.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0700:00_0701:00,0.000,0.000,0.000,0.000,0.000,0.000,60.000,simulation-based
2,3,4,0701:00_0702:00,0.000,2.000,0.000,0.000,1.014,0.855,59.157,simulation-based
2,3,4,0702:00_0703:00,1.000,85.000,1.000,1.000,1.007,0.446,59.558,simulation-based
